Strategy A for N = 1000
2256,2.26%
2313,2.31%
2261,2.26%
6393,6.39%
2764,2.76%
2572,2.57%
2384,2.38%
2494,2.49%
2926,2.93%
2764,2.76%
3039,3.04%
2965,2.97%
3169,3.17%
2807,2.81%
2767,2.77%
2778,2.78%
2778,2.78%
3296,3.30%
3049,3.05%
2720,2.72%
2590,2.59%
2777,2.78%
2601,2.60%
2722,2.72%
2698,2.70%
2518,2.52%
2766,2.77%
2456,2.46%
2339,2.34%
2382,2.38%
2190,2.19%
2215,2.22%
2609,2.61%
Strategy A for N = 1000000
30687,3.07%
21332,2.13%
21433,2.14%
21728,2.17%
23595,2.36%
29860,2.99%
22772,2.28%
22997,2.30%
23150,2.32%
22980,2.30%
62401,6.24%
27109,2.71%
25973,2.60%
23733,2.37%
24627,2.46%
29236,2.92%
27778,2.78%
29736,2.97%
29330,2.93%
30831,3.08%
28756,2.88%
28311,2.83%
27864,2.79%
27199,2.72%
31628,3.16%
30792,3.08%
27032,2.70%
26817,2.68%
28116,2.81%
25868,2.59%
26326,2.63%
26638,2.66%
26079,2.61%
27250,2.73%
24827,2.48%
24462,2.45%
23098,2.31%
22024,2.20%
21630,2.16%
26540,2.65%
Strategy A for N = 1000
33,3.30%
26,2.60%
12,1.20%
22,2.20%
22,2.20%
32,3.20%
17,1.70%
25,2.50%
29,2.90%
23,2.30%
60,6.00%
29,2.90%
17,1.70%
25,2.50%
25,2.50%
27,2.70%
30,3.00%
32,3.20%
18,1.80%
37,3.70%
24,2.40%
33,3.30%
24,2.40%
22,2.20%
39,3.90%
35,3.50%
18,1.80%
26,2.60%
26,2.60%
33,3.30%
24,2.40%
15,1.50%
33,3.30%
32,3.20%
27,2.70%
26,2.60%
17,1.70%
34,3.40%
17,1.70%
30,3.00%
Strategy A for N = 10000
304,3.04%
218,2.18%
231,2.31%
220,2.20%
219,2.19%
305,3.05%
225,2.25%
209,2.09%
247,2.47%
232,2.32%
620,6.20%
265,2.65%
234,2.34%
236,2.36%
239,2.39%
314,3.14%
287,2.87%
281,2.81%
320,3.20%
296,2.96%
273,2.73%
271,2.71%
301,3.01%
264,2.64%
332,3.32%
311,3.11%
287,2.87%
261,2.61%
269,2.69%
270,2.70%
265,2.65%
267,2.67%
252,2.52%
252,2.52%
270,2.70%
275,2.75%
224,2.24%
214,2.14%
208,2.08%
253,2.53%
Strategy A for N = 100000
3102,3.10%
2143,2.14%
2098,2.10%
2182,2.18%
2315,2.32%
2907,2.91%
2297,2.30%
2262,2.26%
2373,2.37%
2235,2.24%
6262,6.26%
2762,2.76%
2583,2.58%
2297,2.30%
2452,2.45%
2977,2.98%
2820,2.82%
2949,2.95%
2978,2.98%
3112,3.11%
2820,2.82%
2804,2.80%
2792,2.79%
2771,2.77%
3231,3.23%
3066,3.07%
2702,2.70%
2646,2.65%
2793,2.79%
2618,2.62%
2621,2.62%
2709,2.71%
2548,2.55%
2672,2.67%
2528,2.53%
2420,2.42%
2372,2.37%
2146,2.15%
2222,2.22%
2661,2.66%
Strategy A for N = 1000000
30948,3.09%
21270,2.13%
21575,2.16%
21844,2.18%
23433,2.34%
29557,2.96%
22652,2.27%
23059,2.31%
23156,2.32%
22934,2.29%
62509,6.25%
27168,2.72%
26202,2.62%
23584,2.36%
24696,2.47%
28909,2.89%
28098,2.81%
29929,2.99%
29383,2.94%
30475,3.05%
28751,2.88%
28266,2.83%
28240,2.82%
27370,2.74%
31645,3.16%
30675,3.07%
27148,2.71%
26858,2.69%
27782,2.78%
25964,2.60%
26326,2.63%
26959,2.70%
26090,2.61%
26908,2.69%
24912,2.49%
24303,2.43%
23078,2.31%
21988,2.20%
21847,2.18%
26308,2.63%
Strategy A for N = 1000
28,2.80%
21,2.10%
18,1.80%
25,2.50%
25,2.50%
30,3.00%
20,2.00%
21,2.10%
19,1.90%
18,1.80%
75,7.50%
29,2.90%
22,2.20%
26,2.60%
27,2.70%
32,3.20%
40,4.00%
